abbrev,smi
Cer(d14:1_18:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCC
Cer(d14:1_20:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCC
Cer(d14:1_22:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCC
Cer(d18:0_16:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC
Cer(d18:1_17:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
CL(18:2_18:2_18:2_18:2),P(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(O)(OC[C@](O)([H])COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(O)=O)=O
CL(18:3_18:3_18:3_18:1),P(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)(O)(OC[C@](O)([H])COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(O)=O)=O
DG(16:0_0:0_16:0),OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
DG(16:0_18:0_0:0),OC[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
DG(16:0_18:1_0:0),OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)(CO)COC(CCCCCCCCCCCCCCC)=O
DG(16:0_18:3_0:0),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCCCCCCCC)=O
DG(16:1_18:2_0:0),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
DG(16:1_18:3_0:0),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
DG(18:0_0:0_18:0),OC[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O
DG(18:1_0:0_18:1),OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
DG(18:1_18:2_0:0),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
DG(18:1_18:3_0:0),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
DG(18:2_0:0_18:2),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
DG(18:2_18:3_0:0),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
DG(18:3_18:3_0:0)_CoE,OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O
DG(18:4_18:2_0:0)_CoE,OC[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
HexCer(d18:1_16:0),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
HexCer(d18:2_16:1),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)([H])(NC(CCCCCCC/C=C\CCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC
HexCer(d18:2_22:1),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)([H])(NC(CCCCCCCC/C=C\CCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC
MGDG(16:2_18:2),C(O[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)[C@]([H])(OC(CCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
MGDG(16:2_18:3),C(O[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)[C@]([H])(OC(CCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O
MGDG(18:3_18:3),C(O[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O
PA(16:0_18:3),[C@](COP(=O)(O)O)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
PC(0:0_14:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)CO
PC(0:0_16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)CO
PC(0:0_18:1)_A,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\CCCCCCCCCCC)=O)CO
