Name,Case_v_Ctrl_pvalue,Log2FC,Case_v_Ctrl_Flag
DG(16:0_18:1_0:0),0.000000709,2.2947,1
TG(18:1_18:2_18:4)_CoE,0.00001,2.7478,1
TG(18:1_18:3_18:3)_CoE,0.00001,2.7478,1
TG(18:2_18:2_18:3)_CoE,0.00001,2.7478,1
TG(15:0_18:2_18:3),0.00003,3.4714,1
PC(18:3_0:0)_B,0.00004,2.4527,1
TG(16:0_18:2_18:3)_CoE,0.00004,3.2194,1
TG(16:1_18:1_18:3)_CoE,0.00004,3.2194,1
TG(16:1_18:2_18:2)_CoE,0.00004,3.2194,1
TG(18:2_18:3_18:3),0.00005,3.5597,1
PC(18:3_0:0)_A,0.00005,3.2579,1
TG(17:1_18:2_18:3)_CoE,0.00006,1.9571,1
TG(17:2_18:1_18:3)_CoE,0.00006,1.9571,1
TG(17:2_18:2_18:2)_CoE,0.00006,1.9571,1
TG(17:0_18:3_18:3),0.00009,1.7776,1
TG(16:0_18:1_18:3)_CoE,0.00011,1.7715,1
TG(16:0_18:2_18:2)_CoE,0.00011,1.7715,1
TG(16:1_18:1_18:2)_CoE,0.00011,1.7715,1
TG(14:0_18:1_18:3)_CoE,0.00016,2.415,1
TG(16:0_16:1_18:3)_CoE,0.00016,2.415,1
TG(16:1_16:1_18:2)_CoE,0.00016,2.415,1
TG(18:0_18:2_18:4)_CoE,0.0002,1.6252,1
TG(18:0_18:3_18:3)_CoE,0.0002,1.6252,1
TG(18:1_18:2_18:3)_CoE,0.0002,1.6252,1
SQDG(16:0_18:1),0.00021,2.1331,1
TG(15:0_18:2_18:2)_CoE,0.00022,1.9941,1
TG(16:0_17:2_18:2)_CoE,0.00022,1.9941,1
TG(16:0_18:3_18:3)_CoE,0.00022,3.4167,1
TG(16:1_18:2_18:3)_CoE,0.00022,3.4167,1
TG(18:3_18:3_18:3),0.00027,3.5124,1
TG(14:0_18:2_18:3),0.00027,2.4913,1
TG(18:2_18:3_22:0),0.00045,2.2024,1
TG(16:0_16:0_18:3)_CoE,0.0006,2.6259,1
TG(16:0_16:1_18:2)_CoE,0.0006,2.6259,1
DG(16:0_18:3_0:0),0.00077,2.1791,1
DG(16:1_18:2_0:0),0.00077,2.1791,1
TG(17:0_18:2_18:3)_CoE,0.0008,2.5089,1
TG(17:1_18:1_18:3)_CoE,0.0008,2.5089,1
TG(17:1_18:2_18:2)_CoE,0.0008,2.5089,1
PC(18:3_18:3),0.00088,3.2792,1
DG(18:3_18:3_0:0)_CoE,0.00088,2.9095,1
DG(18:4_18:2_0:0)_CoE,0.00088,2.9095,1
DG(18:2_18:3_0:0),0.00097,2.2328,1
MGDG(18:3_18:3),0.00101,3.0112,1
HexCer(d18:2_22:1),0.00128,1.8529,1
PC(16:0_18:1),0.0013,1.4551,1
TG(14:0_18:0_18:1)_CoE,0.00155,1.5646,1
TG(16:0_16:1_18:0)_CoE,0.00155,1.5646,1
TG(15:0_18:3_18:3),0.00162,3.1085,1
PC(16:0_18:3),0.00186,2.5791,1
SQDG(18:0_18:3),0.00226,2.2604,1
TG(18:2_18:2_20:0),0.00232,2.3841,1
TG(15:0_18:1_18:2)_CoE,0.00233,1.6106,1
TG(16:1_17:0_18:2)_CoE,0.00233,1.6106,1
TG(16:1_17:1_18:1)_CoE,0.00233,1.6106,1
TG(16:0_16:1_18:1),0.00268,2.0612,1
SQDG(18:3_18:3)_A,0.00317,1.7975,1
TG(18:3_18:3_20:0),0.00335,1.4171,1
TG(15:0_16:0_18:3)_CoE,0.00383,1.3895,1
TG(15:0_16:1_18:2)_CoE,0.00383,1.3895,1
TG(15:1_16:0_18:2)_CoE,0.00383,1.3895,1
PC(17:2_0:0),0.0043,1.8918,1
TG(16:0_18:0_18:3)_CoE,0.00579,1.8198,1
TG(16:0_18:1_18:2)_CoE,0.00579,1.8198,1
TG(16:1_18:0_18:2)_CoE,0.00579,1.8198,1
TG(16:1_18:1_18:1)_CoE,0.00579,1.8198,1
TG(16:0_16:0_18:0)_A,0.00598,1.7778,1
HexCer(d18:2_16:1),0.00629,1.4854,1
TG(15:0_16:0_18:2)_CoE,0.00698,1.1914,1
TG(15:0_16:1_18:1)_CoE,0.00698,1.1914,1
DG(18:1_18:2_0:0),0.00699,1.0794,1
SQDG(16:0_18:3)_B,0.00712,2.5485,1
DG(16:1_18:3_0:0),0.00727,1.6294,1
SQDG(16:0_16:0),0.00766,1.4667,1
SQDG(16:0_18:3)_A,0.00894,2.5286,1
TG(16:0_18:2_19:1)_CoE,0.01008,1.1917,1
TG(17:0_18:1_18:2)_CoE,0.01008,1.1917,1
TG(17:1_18:0_18:2)_CoE,0.01008,1.1917,1
TG(17:1_18:1_18:1)_CoE,0.01008,1.1917,1
PC(18:2_0:0)_A,0.01012,1.6386,1
PC(18:2_18:3),0.01222,1.8528,1
PC(0:0_18:1)_A,0.01394,2.4476,1
TG(17:0_18:2_18:2),0.01681,1.3029,1
TG(15:0_16:1_18:0)_CoE,0.0228,0.4663,1
TG(15:0_17:0_17:1)_CoE,0.0228,0.4663,1
TG(16:0_16:1_17:0)_CoE,0.0228,0.4663,1
TG(18:0_18:2_18:3)_CoE,0.02483,1.3122,1
TG(18:1_18:1_18:3)_CoE,0.02483,1.3122,1
TG(18:1_18:2_18:2)_CoE,0.02483,1.3122,1
TG(15:0_18:1_18:1)_CoE,0.02541,1.4014,1
TG(16:0_17:1_18:1)_CoE,0.02541,1.4014,1
TG(16:1_17:0_18:1)_CoE,0.02541,1.4014,1
SQDG(16:0_18:2),0.02622,1.6654,1
TG(16:0_18:1_19:1)_CoE,0.0465,0.809,1
TG(16:0_18:2_19:0)_CoE,0.0465,0.809,1
TG(17:0_18:0_18:2)_CoE,0.0465,0.809,1
TG(17:0_18:1_18:1)_CoE,0.0465,0.809,1
MGDG(16:2_18:3),0.04659,1.0943,1
SQDG(18:2_18:3)_A,0.04737,1.6649,1
TG(14:0_16:1_18:1)_CoE,0.04876,0.381,1
TG(14:1_16:0_18:1)_CoE,0.04876,0.381,1
TG(14:1_16:1_18:0)_CoE,0.04876,0.381,1
TG(16:0_16:1_16:1)_CoE,0.04876,0.381,1
TG(15:0_17:0_19:1)_CoE,0.049,0.6147,1
TG(15:0_18:0_18:1)_CoE,0.049,0.6147,1
TG(16:0_17:0_18:1)_CoE,0.049,0.6147,1
TG(15:0_16:0_17:0),0.05049,0.7907,0
SQDG(18:3_18:3)_B,0.05606,1.7271,0
PC(18:0_18:3),0.08441,1.0324,0
PC(0:0_16:0),0.08644,1.4778,0
TG(15:0_16:0_17:1)_CoE,0.09035,0.2413,0
TG(15:0_16:1_17:0)_CoE,0.09035,0.2413,0
TG(16:0_16:0_16:1)_CoE,0.09035,0.2413,0
TG(14:0_15:0_18:0)_CoE,0.09504,0.2241,0
TG(14:0_16:0_17:0)_CoE,0.09504,0.2241,0
TG(15:0_15:0_17:0)_CoE,0.09504,0.2241,0
TG(15:0_16:0_16:0)_CoE,0.09504,0.2241,0
TG(16:0_18:0_18:2)_CoE,0.10554,1.3252,0
TG(16:0_18:1_18:1)_CoE,0.10554,1.3252,0
TG(16:1_18:0_18:1)_CoE,0.10554,1.3252,0
DG(16:0_0:0_16:0),0.12466,0.6812,0
PC(16:0_18:2),0.14623,0.8885,0
SQDG(18:2_18:3)_B,0.15336,1.5314,0
DG(18:1_0:0_18:1),0.17515,0.724,0
DG(18:1_18:3_0:0),0.24137,0.5354,0
DG(18:2_0:0_18:2),0.24137,0.5354,0
TG(16:0_16:0_18:0)_B,0.27434,0.3523,0
TG(18:0_18:1_18:3)_CoE,0.28124,1.0188,0
TG(18:1_18:1_18:2)_CoE,0.28124,1.0188,0
SQDG(18:1_18:3),0.28228,NaN,0
TG(16:0_18:0_18:1),0.31046,0.8229,0
TG(16:1_18:0_18:0),0.32898,0.7995,0
TG(14:1_16:1_16:1),0.35811,0.2471,0
