,sn1_0:0,sn1_11:0,sn1_12:0,sn1_14:0,sn1_15:0,sn1_16:0,sn1_16:1,sn1_16:2,sn1_17:0,sn1_17:1,sn1_17:2,sn1_18:0,sn1_18:1,sn1_18:2,sn1_18:3,sn1_191
0:0_14:0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:0_16:0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:0_17:1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:0_17:2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:0_18:0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:0_18:1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:0_18:2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:0_18:3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:0_11:0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:0_12:0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
14:0_0:0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
14:0_16:0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
14:0_18:2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
15:0_16:0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
15:0_18:1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
15:0_18:2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
15:0_18:3,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
16:0_0:0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
16:0_14:0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
16:0_15:0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
16:0_16:0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
16:0_16:1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
16:0_17:0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
16:0_17:1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
16:0_18:0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
