LIPID,TAM_106,TAM_109,TAM_10,TAM_111,TAM_116,TAM_120,TAM_123,TAM_124,TAM_125,TAM_127,TAM_129,TAM_139,TAM_13,TAM_150,TAM_158,TAM_15,TAM_172,TAM_173,TAM_187,TAM_188,TAM_18,TAM_202,TAM_203,TAM_216,TAM_21,TAM_223,TAM_224,TAM_228,TAM_233,TAM_243,TAM_244,TAM_263,TAM_265,TAM_28,TAM_2,TAM_307,TAM_318,TAM_332,TAM_340,TAM_36,TAM_37,TAM_38,TAM_416,TAM_418,TAM_41,TAM_434,TAM_436,TAM_45,TAM_469,TAM_46,TAM_486,TAM_513,TAM_52,TAM_56,TAM_577,TAM_57,TAM_59,TAM_60,TAM_610,TAM_61,TAM_62,TAM_640,TAM_648,TAM_64,TAM_653,TAM_66,TAM_671,TAM_675,TAM_684,TAM_697,TAM_69,TAM_708,TAM_714,TAM_719,TAM_736,TAM_73,TAM_759,TAM_75,TAM_767,TAM_76,TAM_787,TAM_80,TAM_81,TAM_82,TAM_85,TAM_86,TAM_89,TAM_90,TAM_95,TAM_96,TAM_97,TAM_98,TAM_9,TAM_102,TAM_1030,TAM_1040,TAM_105,TAM_1107,TAM_1278,TAM_1297,TAM_1303,TAM_134,TAM_1385,TAM_141,TAM_1466,TAM_156,TAM_1597,TAM_160,TAM_163,TAM_1657,TAM_168,TAM_171,TAM_185,TAM_209,TAM_218,TAM_236,TAM_23,TAM_250,TAM_32,TAM_4287,TAM_476,TAM_53,TAM_587,TAM_641,TAM_647,TAM_657,TAM_68,TAM_725,TAM_74,TAM_79,TAM_803,TAM_816,TAM_817,TAM_886,TAM_900,TAM_930,TAM_963,TAM_1155,TAM_1175,TAM_1196,TAM_121,TAM_138,TAM_1446,TAM_1487,TAM_1595,TAM_1634,TAM_17186,TAM_1763,TAM_2379,TAM_245,TAM_2470,TAM_2637,TAM_2750,TAM_2846,TAM_2892,TAM_3232,TAM_3347,TAM_3997,TAM_4096,TAM_4125,TAM_4276,TAM_4337,TAM_4622,TAM_5039,TAM_5155,TAM_5239,TAM_5314,TAM_5661,TAM_5735,TAM_6009,TAM_606,TAM_6109,TAM_6171,TAM_622,TAM_6284,TAM_6342,TAM_687,TAM_7064,TAM_7124,TAM_7194,TAM_721,TAM_7263,TAM_7486,TAM_7635,TAM_7924,TAM_7931
Cer(d18:0/22:0),16.4532364,16.72732148,15.98380902,15.5111982,15.52409189,15.14483077,16.61536671,16.14669226,16.80442038,16.28424308,16.3148605,16.7076399,16.83956657,16.22021945,16.15285023,15.88425361,15.83327664,16.38913694,16.47906129,16.25320226,16.70534906,16.18855452,15.58092847,16.50635505,16.84165162,16.58040875,17.31511035,15.86850289,16.23422481,16.30486868,16.24611938,16.89691443,16.54314242,16.87274567,16.92546409,16.48251902,15.71734225,16.86397467,15.14922228,15.74560855,15.51120613,16.3751633,15.32558696,15.45521889,16.59450618,15.74945497,16.80169303,15.66673625,16.70558007,15.76316267,16.4268028,16.81318354,15.76231035,16.09425304,16.73419878,16.56899592,16.68104596,17.27864836,15.37644065,15.82620054,16.78218796,16.63051977,16.2451508,15.7556374,15.58720613,16.27086613,16.29756366,16.3109329,16.27338708,16.33621459,15.94651988,16.1926968,16.21737649,16.04276173,17.22311865,15.773567,15.82872082,17.0101382,16.59316364,16.62872274,16.36925767,16.38333593,16.08673708,16.07985217,16.99633689,15.85138255,15.77727979,16.66788427,16.17857136,15.95829931,16.47837603,15.6391983,15.61575891,16.60755975,16.38952883,16.05692379,15.66404091,16.82777546,16.78878561,16.17479893,16.43775498,16.05275842,15.87214929,16.37773029,16.19467546,15.80244765,16.246134,15.97984182,16.73923802,15.86901325,16.88557751,16.48483452,15.54262134,16.11543357,15.88211743,16.39808492,15.63045031,16.57839485,16.40406727,16.05181236,16.76238691,16.2795743,16.3658218,16.31332197,15.98726378,17.02012963,16.67289697,15.97776519,16.15032191,16.64459239,15.43581559,16.61118638,15.8552815,16.1331469,17.0015848,15.78608763,16.50950317,16.27898054,16.8454568,15.79994765,17.21353896,16.80232834,15.69040056,16.22974295,16.90471501,17.72165762,16.94907672,16.58887204,16.36638756,16.44815112,15.93222513,15.86634312,17.97344704,16.70090695,15.73880265,16.23519774,16.56505748,16.16969449,16.1869364,15.17793674,16.43414644,16.18164601,16.58344908,15.87787926,16.79655374,17.10158625,16.2083822,16.0866471,15.7429558,15.76839016,16.24765576,16.44949923,16.69932629,16.29783399,16.1242103,16.23246103,16.16120506,16.29033769,16.79274494,15.99264922,16.82963836,15.57180644,15.06319391,15.67549877,15.95543164,15.88632561
Cer(d18:0/24:0),16.76818132,17.17222903,16.15307687,15.8580805,15.9836628,15.36964427,17.09468322,17.01177826,17.1840168,16.84533946,16.15168402,16.81076286,16.89294301,16.26161706,17.11094609,16.05765775,16.19142409,16.41912218,16.88531871,15.81988084,16.97803217,16.79828859,15.89387993,16.94334767,17.09225741,16.78647365,17.68866547,15.75854954,16.51231122,16.85579957,16.39255157,17.38884559,16.72649348,17.27966596,17.58902423,16.87045503,16.3771199,17.37592484,15.73813786,16.25598765,16.27609094,16.70341416,15.56842701,15.88037746,17.19107785,16.16244095,17.36174199,15.62241005,16.90182179,16.75560722,16.39872038,17.44959484,16.2996616,16.08814911,17.04346163,17.1239015,17.44269714,17.40491834,15.70472607,16.48199764,17.01047701,17.19270896,16.85417686,15.73598786,15.71670876,16.87937776,16.1700699,16.35353617,16.57998506,16.2485795,16.31306188,16.57312769,16.66216531,16.23508122,17.67299259,16.10384557,16.19334758,17.47163223,16.77228114,16.83826516,16.47392065,17.07454146,16.53605082,16.18815791,17.21419209,16.89359269,15.94276027,16.90868179,17.09677074,16.60022533,17.00617369,16.29977484,16.14043364,17.01886683,16.87320812,16.66244793,16.15468993,16.83687678,16.99926246,16.83969359,16.87701601,16.53278447,15.91552333,16.62361117,16.27140811,16.1662487,16.39136859,16.49616913,17.1836054,16.21974743,17.59493434,17.24883991,15.70315372,16.13772225,16.09116733,16.80136693,15.8635738,17.00400022,16.83038276,15.94935171,16.95062358,16.76458242,16.69645261,16.73248363,16.12735351,17.64285115,16.8510157,16.86749503,16.80493529,17.02796325,15.87596479,17.16511695,16.4004854,16.27319905,16.8639125,15.97089748,17.00098913,16.85859186,17.01935204,16.22838299,17.49708993,17.10052393,16.20147649,16.63885838,17.10056126,17.91201495,17.28303354,16.63508066,16.3441557,16.41840446,15.75452847,16.77309509,18.28402816,17.13846028,16.13986895,15.67366591,16.3919456,16.00782456,16.50171791,15.13491746,17.4096078,16.97159455,17.09346006,16.66191452,16.9048133,17.25216484,17.0092066,16.27818884,16.13503526,15.97558348,16.57114141,17.06562962,16.62780773,16.40769752,16.14126566,16.6965849,16.93717014,16.6269119,16.79619602,16.419594,17.09516401,16.39289443,15.67293249,15.95381811,16.585802,16.36340792
Cer(d18:0/24:1),15.99209637,16.91081733,16.38614558,15.67502844,15.828875,15.58356231,17.20240224,16.35116022,17.07980854,17.08341499,16.35723584,16.65818843,17.45316871,15.64469909,17.13296888,16.55692129,15.30952977,16.10270241,16.3680542,16.05343086,16.73345454,16.23687265,16.32279726,16.384403,17.03294063,16.89972597,17.23586682,15.63797596,16.57052354,16.29882131,15.97156603,16.94956393,15.79138154,16.39511876,17.23577976,16.68606104,16.51887603,17.36862226,15.82578021,15.80502465,15.26689014,16.40799057,15.68201962,15.84984972,16.2502791,15.81714279,17.01637888,16.08023462,17.05341606,16.36986648,16.36261774,17.43076903,16.31049177,16.29103908,17.14244288,16.00598113,15.90826922,17.57479232,16.08815715,16.07097856,16.64786725,16.89723666,16.23767862,16.77178093,15.25724703,16.00052927,15.96570019,16.50459362,16.3726065,16.45281819,16.11388153,16.5123303,16.45035633,16.25475902,17.55090625,15.8500599,15.88290964,17.22790813,16.60798055,16.81822121,15.73276901,17.59080292,16.12101815,15.94605956,17.29930549,15.98969741,15.49554988,16.83856075,16.204796,16.52019253,15.91512661,16.08299553,16.01448517,16.23052131,17.11856648,16.52427209,16.47628585,16.60699636,16.80946722,16.02485043,16.73842945,15.14965132,16.21575886,15.79901696,16.60951653,16.11564578,16.61103031,15.98252108,16.30929422,16.12854958,17.11503989,14.95173012,15.7785286,15.85945619,16.37405676,15.79565815,16.30374465,16.88593193,16.36343355,15.86910929,17.04717583,16.9932555,16.60324375,16.36000355,16.32611268,17.94927938,17.19321912,16.64990407,16.39164816,17.09573561,15.54651603,16.45173415,16.43332481,16.40538414,16.93782851,16.53219024,16.88774571,16.31021748,16.92776053,15.7992355,17.26025957,16.89039307,15.90131724,14.98874881,17.20227638,18.02444333,17.44061385,17.28063309,16.20593372,16.6474069,16.57488602,16.26114991,18.11449366,16.52807577,15.19502855,15.44773812,16.81846412,16.38436847,16.03203065,15.61623172,16.95955533,16.43636266,17.39100097,16.2577803,17.45229174,17.31229984,16.63782763,16.81477356,15.79929138,16.14587531,15.65776306,17.31256173,16.73414726,17.16868984,16.22212187,17.08504319,16.92475501,16.8681976,16.85701636,16.16055452,17.59479029,16.1787939,15.64194332,16.31047815,16.45697862,16.42685095
Cer(d18:1/23:0),17.52150972,17.48922297,17.12784024,17.64016222,16.53100689,17.72986655,17.12454149,16.80067232,17.74920764,17.25013058,17.06981582,17.64796678,17.00822739,17.82067564,16.39931356,17.4347905,17.33446863,16.86037975,17.49571056,17.52093062,18.1351268,17.39652537,16.91283685,17.61500848,17.60055427,17.00169639,17.44025221,17.56533015,17.57190847,17.39675722,17.25615622,17.31995846,16.76382668,17.17180829,16.76918739,16.93192817,17.56848145,17.76948627,16.48378152,17.34688421,17.02590992,17.50940138,17.31822086,16.65495112,17.61884895,17.13696747,17.79872223,17.01085742,17.5917371,16.88843914,17.22540602,17.33695101,16.67574717,17.46086405,17.47742158,16.54136097,17.26024619,17.86094173,16.83444637,17.00529946,16.89125773,17.55803155,17.55378324,16.90591328,17.43620442,17.20598909,16.85896614,17.57263303,17.12465098,17.34968597,17.44485468,17.72110456,17.53800304,16.69941949,17.20510889,17.09634114,16.56480718,17.77750816,17.01400993,17.48509243,16.90807114,16.23437993,17.15117755,17.34281581,17.83047706,16.85071434,17.35541099,17.47207688,17.10934486,17.83956189,17.28943079,16.94720697,17.57950734,17.05710676,17.12191654,17.23023732,16.15698305,16.09342558,17.45354398,17.06213234,17.03851336,17.14283391,16.92415408,17.2698496,16.8594998,17.27858852,16.79717065,17.0855661,17.54384573,16.55825939,17.46638477,17.62885482,17.1506792,16.419994,16.85232137,17.47518744,17.20401615,17.45443289,17.33704875,17.18053657,17.74378498,17.42129038,17.04884039,16.46265492,17.6863643,16.93707606,16.7384469,17.2988303,17.03917157,17.40381258,17.49031579,17.19533817,16.74254679,16.72714071,17.66865953,15.53393131,17.13854046,16.54081235,17.14652734,17.45050321,17.34420228,16.96789111,16.62613915,17.43343681,17.33137694,17.57866434,17.44727762,17.10863381,17.18899365,16.73289503,16.33282983,17.05916115,17.1103872,17.26063473,16.88967318,17.10016883,17.43789258,17.3322123,17.22290818,16.33893937,17.21160353,17.725933,17.80954322,16.94574665,16.62319659,17.10856379,16.98573385,17.16527294,17.02053751,17.11213501,16.81500409,17.326026,16.83188562,17.44439472,17.3316198,17.28173095,17.06876177,17.3399052,17.35622103,16.85054319,17.39572884,18.0375659,16.65821427,17.30468262,16.39487349,16.73884825
Cer(d18:1/24:0),19.00070774,18.88903477,18.77505203,18.88832729,18.16139496,19.01904136,18.28774405,18.92135551,19.03156856,18.67560718,18.31373399,19.22191418,18.35692839,19.27276138,18.6874354,18.7059028,18.59698148,18.44523153,18.82959351,18.65146398,19.5962232,18.62230857,18.32588416,18.91134455,19.30578147,18.60500955,18.76695548,18.84985154,18.54328695,18.87577994,18.33499169,18.8917256,18.28278815,18.44702007,18.21932765,18.32484371,18.86740548,19.21299932,18.08688576,18.58632985,18.71283505,19.04387106,18.66153371,18.5161826,18.90323571,18.54312692,19.26062417,18.99056812,18.66794862,18.90181136,18.40105467,18.9004023,18.42494689,18.62417776,19.04254098,18.72889526,18.99057906,19.10867096,18.33410975,18.78802806,18.40840413,18.98559583,18.72217003,18.49127593,18.78521019,18.56962041,18.26009354,18.90861867,18.56894516,18.47845485,18.68129926,19.08849875,18.7825982,18.44652924,18.91505704,18.58548627,18.14328481,19.41634081,18.50663277,18.96292116,18.75183069,17.85316511,18.39759004,18.76460635,19.24161464,18.79851361,18.63131713,18.78498219,18.47381367,19.08382741,18.96786378,18.59538224,19.05516725,18.86113005,18.68481749,18.61721638,17.73883014,17.81523019,18.92191236,18.83961115,18.53361697,18.5940306,18.53980793,18.66705704,18.08081509,18.60580051,18.05643561,18.3259185,18.88206206,17.76532296,18.81070164,19.90539559,18.51926222,17.91418271,18.43434239,18.65398069,18.48100724,18.72206061,18.71876911,18.74932541,18.82026056,18.80828025,18.30453612,18.27012735,18.69034549,18.34990339,18.41294624,18.5497597,18.71941475,18.62048709,18.65722168,19.01202764,18.59459063,17.88147499,18.78620963,18.21009031,18.38496268,18.13088047,18.6238628,19.04485176,18.61143261,18.58120799,18.48759427,19.07275242,18.99807725,18.68508248,18.76175145,18.67128001,18.55021494,18.6827879,18.35198847,18.48969898,18.66458997,19.04504195,18.42604361,18.54803504,18.08321171,18.98507645,18.79200309,17.51035356,19.09474034,19.04444343,18.95096378,18.84770456,18.31218728,18.78419028,18.40923609,18.89700654,18.52434386,18.65279606,18.20353445,18.61597946,18.47200838,18.38979409,18.81080703,18.51825306,18.57741481,18.61608248,19.10685718,18.59187138,19.0963956,19.24056372,18.38356319,18.08745537,18.45962403,18.53035906
Cer(d18:1/24:1),17.32107002,17.93527025,17.54055758,17.99485995,17.35396737,18.52757929,17.52315381,17.58797493,18.22713921,18.12421715,17.31544486,17.70321599,17.5649632,17.31147595,17.43992947,18.09074011,17.01693823,16.80943065,17.5465025,17.55051586,18.32179701,17.59065864,17.82848041,17.59063514,17.64976265,17.68846211,17.64685951,17.57926048,17.73892032,17.71922519,17.16298816,17.47951329,16.99809431,17.15180137,17.06281704,17.37182175,17.89825767,18.18892807,17.6140567,17.4904775,17.22434976,17.64743003,17.93927239,17.90684336,17.26926592,17.71701603,18.20909108,18.00707718,18.04692143,18.14438664,18.10073033,18.40663713,17.22999649,17.94161738,18.11549565,17.06268131,17.18299541,18.14452521,17.92336964,17.83648552,17.17923198,17.92467928,17.22040654,18.04153075,18.65089712,17.50009392,17.1750438,18.1073099,17.25357398,17.58041571,17.83869722,18.01206482,18.06815235,17.11110688,17.93681243,17.48378545,16.86011273,17.93490693,17.37603018,17.57377469,17.57523978,17.64242012,17.15377475,17.36306338,17.93902943,17.48873934,17.94022125,17.62622049,17.22265024,18.47935657,17.03601648,17.39610838,17.8843495,17.38581754,17.78578741,18.11605022,16.91730384,17.45612575,17.31757404,17.54831234,17.59856257,16.83763406,17.52286222,17.05118212,17.15066835,17.69007787,17.51430589,17.13483877,17.74408039,16.85511162,17.46742943,17.76926838,17.43081355,17.25478239,17.53017373,16.81442599,17.873683,17.83358891,17.73501303,17.7847631,17.8732,18.24592494,17.69560931,16.98695759,18.05324654,17.66545859,17.86993938,17.71208548,17.56171462,17.73687832,17.65758515,17.15887031,17.56994041,17.59596016,18.2364973,17.86276964,18.10598648,16.78556492,17.53458509,17.83024382,17.41194839,17.3860533,17.63595809,17.03300131,17.96693147,18.00064966,18.05506317,17.64439399,17.37686473,17.7903638,17.60419909,17.17170823,17.77746706,17.84095723,17.11111478,17.42654842,18.38159708,18.16649649,17.30157908,17.33844881,17.77784452,18.03230924,18.44921498,17.68250101,18.19587691,17.83989286,17.49520067,18.42301548,17.57079496,17.54117778,16.95519458,18.5840613,17.20010306,18.3259729,17.48515619,17.71877865,17.55691565,18.12392501,18.23873728,18.04253283,18.47558436,18.59336229,17.7306987,17.53490312,17.78188613,17.55807098
CoQ10,18.29236473,18.48905818,18.33261086,18.78579442,17.81694388,17.562126,17.57326329,17.75055721,18.62696251,18.20691977,18.04963692,18.90771427,18.5293892,19.05276594,17.99722375,18.35262107,18.04137446,17.78139681,18.20545937,18.01298618,18.45882521,18.24547005,18.15765599,18.5588063,18.54217069,18.08571929,18.57539019,18.02188241,18.36135909,18.60812732,18.09775938,18.7419017,18.26185504,18.98126303,18.46028305,17.61078559,18.04867383,18.91483981,18.02859875,18.8006565,18.75167265,18.29568483,17.61188291,18.68125302,18.76630588,18.43931631,18.82504491,18.68138049,18.38764041,18.55368549,18.14272335,18.8571382,18.36546637,17.83759013,18.9468429,17.70973079,18.38459867,18.9316034,18.25074,18.25905444,18.86921777,18.72032888,18.72232349,18.57711927,18.36973019,18.19642862,18.21170993,18.60411477,18.42580149,18.93113747,18.43886192,18.68060858,18.89547046,18.17418736,18.45645998,18.18633351,17.83835715,18.55805145,18.19769855,18.6531748,18.76897898,18.1249658,17.65633897,18.86838258,19.2799349,18.84598969,18.01927669,18.24950847,18.47731624,18.40613018,18.53334607,18.72353275,17.96879708,18.43393735,18.62649074,19.08081356,18.8215533,18.27766738,18.98846279,18.94713715,18.05270038,17.94036949,18.64906007,18.57008461,18.50148544,18.27625709,18.58990053,18.31530757,18.78604162,18.15279181,18.31573156,19.36668969,18.17466511,18.44261796,17.9566075,18.49445664,18.62551088,18.48317264,17.72301024,18.04406705,18.22556589,18.26399247,17.93406668,18.57980444,18.39594608,18.34785131,18.31023104,17.71276713,18.80043155,18.428343,18.4916552,18.83468486,17.94812289,18.52124514,18.07767449,18.59095568,17.83214393,17.63148419,18.67265033,18.04124821,18.12574048,18.92514929,18.67837649,18.70892469,18.64806174,18.09490472,18.57457566,18.60934436,18.0021133,18.40659259,17.97773931,18.52287182,18.23192645,19.14564137,18.04622713,17.14622442,17.29094618,18.72969589,18.10753968,17.83983456,18.49063647,18.69079739,18.32231423,18.21626282,18.17921543,18.19926257,19.20872393,18.74994792,18.28180855,18.4498609,18.02543062,18.04390734,17.86586104,18.26450587,18.60375838,18.7664747,18.77836377,18.17683581,18.67131051,17.82825922,18.99168491,18.78044766,18.34341994,18.076168,17.8960869,18.49031251
DG(16:0/18:1/0:0),19.38917642,20.38514394,19.50311638,19.95694565,19.50113183,19.83791459,19.53140229,20.02995471,19.73442108,20.13583284,19.7539349,20.05047889,20.00842807,19.55912197,20.23989005,20.55748269,18.63976558,20.47526811,19.46281005,21.03135668,19.99447592,19.6556215,19.95174461,20.26845562,19.67600602,20.92422908,19.42574916,20.01712449,20.18151863,19.37858119,19.1741351,19.8993202,20.07755722,19.21957524,19.70670693,19.22583452,19.56463201,19.90738915,20.02995471,19.94720534,19.73773736,19.30202414,22.2210349,20.0318986,20.33095874,20.96416963,23.05592198,20.00643531,19.792578,20.18271305,21.72321082,20.78885428,19.61783297,19.91219754,20.58581789,20.58937446,20.22082475,20.0011236,20.7346599,20.44463298,20.18194035,20.15218947,20.12976233,20.55957085,21.18763891,20.19255579,20.83462493,19.91783803,19.73485306,20.17271639,20.28986518,19.99535315,20.3760878,19.72374667,20.64714476,20.00312446,19.79836437,21.41593702,20.43268818,20.05471002,21.15934884,20.29997646,20.30883996,19.71915754,20.41443693,19.58103162,20.16363507,20.18485551,19.51306773,20.11232751,19.32912259,20.4963897,20.0943545,19.36227965,20.18736161,21.16632204,19.42246819,20.45161746,20.01100781,20.65014239,19.74577183,18.89350368,20.04432959,19.92966666,20.62827862,20.42095967,20.30905208,19.79370444,20.04554132,20.40735651,19.76444143,18.88942923,20.05670759,19.75363684,20.23215751,19.02398206,19.79333768,20.44690595,19.58822801,20.88708425,21.03543748,20.59099677,20.66489529,20.64295047,19.9950916,20.47195148,19.60905271,20.15747895,18.93686259,19.88278898,20.47578732,20.59785348,20.28349353,21.12854072,20.54949927,19.79179281,21.0128938,20.17197902,20.49738649,20.08865681,20.82910245,19.62189359,19.50134712,19.37895595,20.73232229,20.66306031,20.30946379,20.85511218,21.18589388,19.85951799,21.80429097,19.35791313,19.84563585,19.79501242,20.68437563,20.50179705,20.45891889,21.73456276,21.06578168,19.82544115,20.02995471,21.03055434,21.03641256,21.07214333,20.4859087,20.1480107,19.62988234,20.4872081,20.77852697,21.49857782,19.41582811,20.63947092,20.26815197,19.03870286,20.97211201,21.24614021,20.22267029,19.58776615,19.99072671,22.02133859,20.35241068,21.42832854,21.49994109,22.20181624,19.59147352,20.8227091
DG(16:0/18:2/0:0),19.76374628,20.6006614,19.60586928,19.8090301,19.18304473,20.25173247,19.25730787,20.00941619,19.93696221,20.09427378,19.96711628,19.59606313,20.45171455,19.4303032,20.1254123,20.65183704,19.00108703,20.42380599,19.63764767,20.83323419,19.81851907,19.68919481,19.98998768,19.59632864,19.94853168,20.45403377,19.31529208,20.14479653,19.78166615,19.58104792,20.02995471,19.86140769,20.01877347,19.24756644,19.95420023,19.18418122,19.96558898,19.79953916,19.50646378,20.0406238,19.80070535,19.64798994,22.72433375,20.44817963,20.26519225,20.58737524,23.49408713,19.8356091,19.77475332,20.06028678,21.84588949,20.66382453,20.13136027,19.63284777,20.57849514,20.2269021,20.11258329,19.64164183,19.91947324,20.30392821,19.82523675,20.69202138,20.21591664,20.06171077,20.55308008,20.02995471,20.85480887,20.18450479,20.00572209,20.1854665,20.02995471,20.04182387,20.36327615,19.89354572,20.50560709,19.61461028,20.16310167,21.01160942,20.30330974,19.89310948,20.5526109,20.1737632,20.1504446,19.75505849,20.3052708,19.62324557,20.22880242,20.12824845,19.44892625,20.19170787,19.46676316,19.99958135,19.94882302,19.94953857,20.52694611,20.82154302,19.45309792,20.66510358,20.04301713,20.86345935,19.95766385,19.65878328,19.95661102,19.22236986,20.34381951,20.27451983,20.08903908,19.81537056,19.92106592,20.02995471,19.71316877,19.18292722,20.5503644,19.79618821,20.23356681,19.64850593,19.68436818,20.27356068,20.31061374,20.59093743,20.77873206,20.83372989,20.40398265,20.46475366,20.28206336,20.30218982,19.12545112,19.72223282,19.11640436,19.96742514,20.43588455,20.25353194,20.68738496,21.09442536,20.69520649,19.49200175,20.71741609,20.43136024,20.73311909,19.75615033,20.49130293,19.57505429,19.22547925,20.15683175,20.83830471,20.77706089,20.39271733,20.81713193,20.61582041,19.72152698,21.61262016,18.92282127,19.67007549,19.94970542,20.41322461,20.46272559,20.48580749,21.31909901,21.07213594,19.44578281,19.77119672,20.64196944,21.38869049,20.94516534,20.02995471,19.46897943,19.4660438,20.13524151,20.52709926,21.04054767,19.49484597,20.57283642,19.8733187,19.49210122,20.95021331,21.16408724,20.49222029,19.94685695,19.28144123,21.0750527,20.10070005,20.79120995,20.84599443,21.61215422,19.58391539,20.29092568
DG(16:0/18:2/0:0);DG(16:1/18:1/0:0),19.76374628,20.6006614,19.60586928,19.8090301,19.18304473,20.25173247,19.25730787,20.00941619,19.93696221,20.09427378,19.96711628,19.59606313,20.45171455,19.4303032,20.1254123,20.65183704,19.00108703,20.42380599,19.63764767,20.83323419,19.81851907,19.68919481,19.98998768,19.59632864,19.94853168,20.45403377,19.31529208,20.14479653,19.78166615,19.58104792,20.02995471,19.86140769,20.01877347,19.24756644,19.95420023,19.18418122,19.96558898,19.79953916,19.50646378,20.0406238,19.80070535,19.64798994,22.72433375,20.44817963,20.26519225,20.58737524,23.49408713,19.8356091,19.77475332,20.06028678,21.84588949,20.66382453,20.13136027,19.63284777,20.57849514,20.2269021,20.11258329,19.64164183,19.91947324,20.30392821,19.82523675,20.69202138,20.21591664,20.06171077,20.55308008,20.02995471,20.85480887,20.18450479,20.00572209,20.1854665,20.02995471,20.04182387,20.36327615,19.89354572,20.50560709,19.61461028,20.16310167,21.01160942,20.30330974,19.89310948,20.5526109,20.1737632,20.1504446,19.75505849,20.3052708,19.62324557,20.22880242,20.12824845,19.44892625,20.19170787,19.46676316,19.99958135,19.94882302,19.94953857,20.52694611,20.82154302,19.45309792,20.66510358,20.04301713,20.86345935,19.95766385,19.65878328,19.95661102,19.22236986,20.34381951,20.27451983,20.08903908,19.81537056,19.92106592,20.02995471,19.71316877,19.18292722,20.5503644,19.79618821,20.23356681,19.64850593,19.68436818,20.27356068,20.31061374,20.59093743,20.77873206,20.83372989,20.40398265,20.46475366,20.28206336,20.30218982,19.12545112,19.72223282,19.11640436,19.96742514,20.43588455,20.25353194,20.68738496,21.09442536,20.69520649,19.49200175,20.71741609,20.43136024,20.73311909,19.75615033,20.49130293,19.57505429,19.22547925,20.15683175,20.83830471,20.77706089,20.39271733,20.81713193,20.61582041,19.72152698,21.61262016,18.92282127,19.67007549,19.94970542,20.41322461,20.46272559,20.48580749,21.31909901,21.07213594,19.44578281,19.77119672,20.64196944,21.38869049,20.94516534,20.02995471,19.46897943,19.4660438,20.13524151,20.52709926,21.04054767,19.49484597,20.57283642,19.8733187,19.49210122,20.95021331,21.16408724,20.49222029,19.94685695,19.28144123,21.0750527,20.10070005,20.79120995,20.84599443,21.61215422,19.58391539,20.29092568
