Name,HG
Cer(d14:1_18:0),Cer
Cer(d14:1_20:0),Cer
Cer(d14:1_22:0),Cer
Cer(d18:0_16:0),Cer
Cer(d18:1_17:0),Cer
CL(18:2_18:2_18:2_18:2),CL
CL(18:3_18:3_18:3_18:1),CL
DG(16:0_0:0_16:0),DG
DG(16:0_18:0_0:0),DG
DG(16:0_18:1_0:0),DG
DG(16:0_18:3_0:0),DG
DG(16:1_18:2_0:0),DG
DG(16:1_18:3_0:0),DG
DG(18:0_0:0_18:0),DG
DG(18:1_0:0_18:1),DG
DG(18:1_18:2_0:0),DG
DG(18:1_18:3_0:0),DG
DG(18:2_0:0_18:2),DG
DG(18:2_18:3_0:0),DG
DG(18:3_18:3_0:0)_CoE,DG
DG(18:4_18:2_0:0)_CoE,DG
HexCer(d18:1_16:0),HexCer
HexCer(d18:2_16:1),HexCer
HexCer(d18:2_22:1),HexCer
MGDG(16:2_18:2),MGDG
MGDG(16:2_18:3),MGDG
MGDG(18:3_18:3),MGDG
PA(16:0_18:3),PA
PC(0:0_14:0),LPC
PC(0:0_16:0),LPC
PC(0:0_18:1)_A,LPC
PC(11:0_11:0),PC
PC(16:0_18:1),PC
PC(16:0_18:2),PC
PC(16:0_18:3),PC
PC(17:2_0:0),LPC
PC(18:0_18:3),PC
PC(18:1_18:2),PC
PC(18:1_18:3),PC
PC(18:2_0:0)_A,LPC
PC(18:2_18:2),PC
PC(18:2_18:3),PC
PC(18:3_0:0)_A,LPC
PC(18:3_0:0)_B,LPC
PC(18:3_18:3),PC
PE(12:0_12:0),PC
PE(14:0_0:0),LPE
PE(14:0_18:2),PE
PE(15:0_18:1)_CoE,PE
PE(15:0_18:2),PE
PE(15:0_18:3),PE
PE(16:0_0:0),LPE
PE(16:0_16:1),PE
PE(16:0_17:1)_CoE,PE
PE(16:0_18:1),PE
PE(16:0_18:2),PE
PE(16:0_18:3),PE
PE(16:0_19:1)_CoE,PE
PE(16:1_18:2),PE
PE(16:1_18:3),PE
